"origin" "dev" "cumpaid" "incurred" "premium" "last"
"1" 1 1 8352.76 22148.56 33001.2 21715.22
"2" 2 1 8562.86 22833.66 39408.99 26111.58
"3" 3 1 16376.84 42863.85 47757.65 41875.76
"4" 4 1 15522.01 43810.03 54164.91 45454.17
"5" 5 1 18019.45 49158.29 58916.66 58478.94
"6" 6 1 17982.49 43972.43 64016.15 59084.26
"7" 7 1 14331.49 39798.46 58938.66 37066.5
"8" 8 1 13070.62 37653.49 58040.65 29894.95
"9" 9 1 9414.06 26213.41 53368.58 18538.25
"10" 10 1 10145.96 26670.86 53578.29 16850.69
"11" 11 1 8371.08 21119.57 48910.32 8371.08
"12" 1 2 14718.12 22761.34 33001.2 21715.22
"13" 2 2 15314.66 37845.63 39408.99 26111.58
"14" 3 2 25053.99 40279.85 47757.65 41875.76
"15" 4 2 27929.91 73234.34 54164.91 45454.17
"16" 5 2 36309.9 88382.43 58916.66 58478.94
"17" 6 2 32182.1 60333.03 64016.15 59084.26
"18" 7 2 22707.32 41658.68 58938.66 37066.5
"19" 8 2 19896.7 34429.94 58040.65 29894.95
"20" 9 2 15024.13 24994.47 53368.58 18538.25
"21" 10 2 16850.68 29651.76 53578.29 16850.69
"22" 1 3 16031.73 19817.1 33001.2 21715.22
"23" 2 3 16788.28 19449.74 39408.99 26111.58
"24" 3 3 27253.08 36557.39 47757.65 41875.76
"25" 4 3 32110.47 37085.13 54164.91 45454.17
"26" 5 3 41002.56 55346.84 58916.66 58478.94
"27" 6 3 39352.68 82780.37 64016.15 59084.26
"28" 7 3 26813.95 38428.22 58938.66 37066.5
"29" 8 3 23913.58 40662.75 58040.65 29894.95
"30" 9 3 18538.24 27004.29 53368.58 18538.25
"31" 1 4 17017.31 19356.16 33001.2 21715.22
"32" 2 4 18145.37 24796.14 39408.99 26111.58
"33" 3 4 29029.74 38228.1 47757.65 41875.76
"34" 4 4 35509.96 46192.37 54164.91 45454.17
"35" 5 4 45107.27 61990.33 58916.66 58478.94
"36" 6 4 45769.81 69963.09 64016.15 59084.26
"37" 7 4 31100.64 50407.41 58938.66 37066.5
"38" 8 4 29894.95 47048.79 58040.65 29894.95
"39" 1 5 18094.94 19819.52 33001.2 21715.22
"40" 2 5 19226.69 29891.4 39408.99 26111.58
"41" 3 5 30971.76 37990.7 47757.65 41875.76
"42" 4 5 38003.47 49812.92 54164.91 45454.17
"43" 5 5 50243.5 65388.24 58916.66 58478.94
"44" 6 5 52671.34 65752.95 64016.15 59084.26
"45" 7 5 37066.5 50392.06 58938.66 37066.5
"46" 1 6 18765.59 20099.18 33001.2 21715.22
"47" 2 6 20960.29 22365.48 39408.99 26111.58
"48" 3 6 36666.5 50659.69 47757.65 41875.76
"49" 4 6 41138.54 47307.09 54164.91 45454.17
"50" 5 6 53976.82 57985.38 58916.66 58478.94
"51" 6 6 59084.26 66181.22 64016.15 59084.26
"52" 1 7 19148.82 20038.79 33001.2 21715.22
"53" 2 7 22254.66 26453.38 39408.99 26111.58
"54" 3 7 38553.02 41750.86 47757.65 41875.76
"55" 4 7 42722.45 43599.64 54164.91 45454.17
"56" 5 7 58478.94 68074.65 58916.66 58478.94
"57" 1 8 20089.13 22487.97 33001.2 21715.22
"58" 2 8 24744.75 27134.19 39408.99 26111.58
"59" 3 8 40791.23 41996.82 47757.65 41875.76
"60" 4 8 45454.17 45983.89 54164.91 45454.17
"61" 1 9 20553.61 21233.03 33001.2 21715.22
"62" 2 9 25434.92 26006.45 39408.99 26111.58
"63" 3 9 41875.77 42379.87 47757.65 41875.76
"64" 1 10 21248.09 21544.31 33001.2 21715.22
"65" 2 10 26111.58 26745.18 39408.99 26111.58
"66" 1 11 21715.23 21715.22 33001.2 21715.22
