"origin" "dev" "paid" "cumulative" "premiums"
"1" 1 1 66385.3794456737 66385.3794456737 188905.164017446
"2" 2 1 75521.5213843288 75521.5213843288 210575.828420784
"3" 3 1 69468.2477423021 69468.2477423021 217977.132995239
"4" 4 1 73177.2641463394 73177.2641463394 218858.505110252
"5" 5 1 73363.5524796365 73363.5524796365 237078.319626049
"6" 6 1 73254.8737804657 73254.8737804657 242960.231114992
"7" 7 1 62444.2265157124 62444.2265157124 216026.649073522
"8" 8 1 52861.4010836031 52861.4010836031 198196.84968061
"9" 9 1 47401.6223648263 47401.6223648263 192344.091332134
"10" 10 1 55448.2181889378 55448.2181889378 208896.787185096
"11" 11 1 56695.3694955632 56695.3694955632 234306.811406701
"12" 1 2 43908.3843538348 110293.763799508 188905.164017446
"13" 2 2 49916.0605598878 125437.581944217 210575.828420784
"14" 3 2 53807.4533096775 123275.70105198 217977.132995239
"15" 4 2 47003.182088655 120180.446234994 218858.505110252
"16" 5 2 67083.8101049483 140447.362584585 237078.319626049
"17" 6 2 84484.9577037963 157739.831484262 242960.231114992
"18" 7 2 53768.2905580101 116212.517073722 216026.649073522
"19" 8 2 67810.9727712287 120672.373854832 198196.84968061
"20" 9 2 55711.6896333967 103113.311998223 192344.091332134
"21" 10 2 59735.7349723575 115183.953161295 208896.787185096
"22" 1 3 11822.5560652732 122116.319864782 188905.164017446
"23" 2 3 8634.35851258007 134071.940456797 210575.828420784
"24" 3 3 9535.4792276746 132811.180279654 217977.132995239
"25" 4 3 13487.8320735376 133668.278308532 218858.505110252
"26" 5 3 20390.6593408906 160838.021925475 237078.319626049
"27" 6 3 17730.5376810448 175470.369165307 242960.231114992
"28" 7 3 9009.13646961882 125221.653543341 216026.649073522
"29" 8 3 11442.7207738265 132115.094628658 198196.84968061
"30" 9 3 10353.3166757881 113466.628674011 192344.091332134
"31" 1 4 4691.77003043202 126808.089895214 188905.164017446
"32" 2 4 6057.53718642093 140129.477643218 210575.828420784
"33" 3 4 4063.57325213402 136874.753531788 217977.132995239
"34" 4 4 5577.4764468574 139245.754755389 218858.505110252
"35" 5 4 7877.05745917631 168715.079384652 237078.319626049
"36" 6 4 8876.71455691234 184347.083722219 242960.231114992
"37" 7 4 6270.41364652472 131492.067189866 216026.649073522
"38" 8 4 4418.68594013216 136533.78056879 198196.84968061
"39" 1 5 3205.75320050884 130013.843095723 188905.164017446
"40" 2 5 8711.09323895877 148840.570882176 210575.828420784
"41" 3 5 2956.62942071513 139831.382952503 217977.132995239
"42" 4 5 3422.78121091567 142668.535966305 218858.505110252
"43" 5 5 3148.02056192195 171863.099946574 237078.319626049
"44" 6 5 1327.42403411809 185674.507756337 242960.231114992
"45" 7 5 3026.47161861889 134518.538808485 216026.649073522
"46" 1 6 878.13618416244 130891.979279885 188905.164017446
"47" 2 6 699.979617221158 149540.550499398 210575.828420784
"48" 3 6 4902.48388504715 144733.866837551 217977.132995239
"49" 4 6 2749.78833121638 145418.324297521 218858.505110252
"50" 5 6 3857.85872506332 175720.958671637 237078.319626049
"51" 6 6 5876.84265352902 191551.350409866 242960.231114992
"52" 1 7 1535.05473154988 132427.034011435 188905.164017446
"53" 2 7 983.905205586753 150524.455704984 210575.828420784
"54" 3 7 3798.80342115955 148532.67025871 217977.132995239
"55" 4 7 4704.49162377287 150122.815921294 218858.505110252
"56" 5 7 1376.17902828014 177097.137699917 237078.319626049
"57" 1 8 2180.73735675638 134607.771368191 188905.164017446
"58" 2 8 3723.39648075982 154247.852185744 210575.828420784
"59" 3 8 6783.30128495996 155315.97154367 217977.132995239
"60" 4 8 6234.98957765783 156357.805498952 218858.505110252
"61" 1 9 6676.59633780502 141284.367705996 188905.164017446
"62" 2 9 739.346241083616 154987.198426828 210575.828420784
"63" 3 9 745.528022105502 156061.499565776 217977.132995239
"64" 1 10 390.89614147564 141675.263847472 188905.164017446
"65" 2 10 271.085852120327 155258.284278948 210575.828420784
"66" 1 11 48.3883832777185 141723.65223075 188905.164017446
