"","x"
"1",229159.294858534
"2",178459.877718352
"3",225694.324939585
"4",204907.846613235
"5",204689.812383835
"6",220694.472246311
"7",184191.905666238
"8",193743.610710429
"9",231336.161987249
"10",215313.103159495
"11",207870.527300151
"12",198445.705258707
"13",202552.820035506
"14",208975.544228355
"15",197872.673770586
"16",217332.010981543
"17",195449.559345154
"18",196429.986699151
"19",172100.400899936
"20",237148.152574501
"21",212029.369269404
"22",186436.682652997
"23",213796.122153787
"24",219994.196214757
"25",192656.622455048
"26",195139.838318213
"27",196467.438167343
"28",226259.529132847
"29",230192.695184697
"30",183817.327454768
"31",202601.695901583
"32",209950.782993635
"33",191011.597437186
"34",255764.789319207
"35",191540.65222894
"36",199258.689276795
"37",251076.865536906
"38",210847.293312574
"39",192152.64738711
"40",230635.197378803
"41",210316.847166392
"42",197232.46115074
"43",225534.903863394
"44",201403.651509142
"45",205036.217148922
"46",180259.31945819
"47",217886.544193429
"48",222969.85738345
"49",250213.30732543
"50",192551.445957301
"51",220571.987275779
"52",194321.979583127
"53",203475.555034984
"54",221686.633685774
"55",184791.724825933
"56",178974.881798241
"57",217622.072616422
"58",227010.440477732
"59",218753.823083598
"60",202463.299481029
"61",204230.053830372
"62",181077.812848686
"63",220704.664714313
"64",186948.142274566
"65",205896.815147036
"66",201136.82211105
"67",219181.834725509
"68",205785.793661972
"69",233331.334594856
"70",207275.033319396
"71",205527.655776282
"72",186404.38466438
"73",198223.632414619
"74",235483.311629467
"75",228056.645062924
"76",216609.713697997
"77",220296.774929034
"78",206838.523682798
"79",214077.092385775
"80",241698.361849822
"81",205906.500694837
"82",222133.155269775
"83",201482.259111308
"84",204249.319061707
"85",216832.622462969
"86",196866.044254104
"87",191137.68520609
"88",206580.793124777
"89",211575.803200103
"90",200854.670413041
"91",197859.592942572
"92",220907.25827237
"93",224489.476772208
"94",207788.627852148
"95",215558.400611581
"96",197199.603102627
"97",210501.819455776
"98",180433.064059114
"99",202801.67992586
"100",221297.638579796
"101",196411.060879042
"102",193389.435384731
"103",216174.010244
"104",187791.929292553
"105",193255.912266235
"106",206854.572068508
"107",224132.672063087
"108",186805.738457492
"109",230005.384421329
"110",184006.317114055
"111",199947.351747608
"112",249852.4461138
"113",209243.932185668
"114",215830.901124751
"115",215649.063467271
"116",222087.264529659
"117",199228.164302823
"118",196534.205140815
"119",214734.976571498
"120",210759.992765536
"121",222759.245873956
"122",197609.523722914
"123",192413.882155432
"124",217630.639059901
"125",160520.387487477
"126",227437.556131583
"127",203437.697392885
"128",217821.2128452
"129",213214.713760428
"130",203563.832370892
"131",197801.06842452
"132",152087.862610643
"133",188433.848321452
"134",247368.649001942
"135",221321.824191466
"136",209786.250334106
"137",199383.522494396
"138",181669.011334938
"139",168252.499140153
"140",219830.612732281
"141",215002.928933974
"142",197787.779076607
"143",234663.632429955
"144",192708.034904417
"145",183219.338887881
"146",229179.270422444
"147",228854.410251582
"148",212773.339198665
"149",194050.016471429
"150",218014.08741802
"151",211264.54653671
"152",209988.304688326
"153",182381.35636171
"154",196687.669358327
"155",238507.019544665
"156",196973.172590935
"157",168400.466435665
"158",188658.051231798
"159",205469.389519299
"160",193802.140393345
"161",205398.557812277
"162",167274.75950971
"163",195072.240176823
"164",212926.384989558
"165",206986.947287952
"166",196131.133105471
"167",248016.063581637
"168",185494.893920908
"169",238796.383128564
"170",211319.197462325
"171",205187.278573819
"172",205149.728972639
"173",193527.947273494
"174",217278.641734964
"175",215445.265895481
"176",191119.91078736
"177",198629.079883696
"178",231539.784821566
"179",212655.970799025
"180",193606.551623055
"181",245011.175076601
"182",182645.984160441
"183",182908.483659289
"184",224059.252705733
"185",201067.588705712
"186",204232.085174026
"187",224423.564917817
"188",205867.666983806
"189",210537.771307333
"190",207070.514713994
"191",222596.427594706
"192",199296.158808294
"193",193441.259434269
"194",197230.807342437
"195",202964.222310689
"196",214278.984144744
"197",203910.921726142
"198",199581.022226718
"199",214521.484952765
"200",201059.487937485
"201",206221.066532232
"202",189464.404147966
"203",201808.571345286
"204",219294.703644117
"205",224138.320454455
"206",187581.602087198
"207",212160.72409088
"208",212955.161693967
"209",208138.897744103
"210",206138.511263913
"211",192336.65289625
"212",210515.258624615
"213",220562.41717857
"214",203128.309670417
"215",193111.121536917
"216",209864.426486564
"217",244990.699571822
"218",208441.023619693
"219",241203.924295
"220",203066.230421426
"221",180058.860253592
"222",199718.469668105
"223",211382.649077048
"224",208960.357363677
"225",207478.956755396
"226",174655.036958855
"227",226569.032651147
"228",217831.522916799
"229",210679.351014463
"230",217780.430580958
"231",178150.908441035
"232",200518.566844215
"233",191123.703850367
"234",198770.090937477
"235",207224.867273816
"236",197162.263884276
"237",245940.453162293
"238",236196.422160124
"239",194428.758563933
"240",203963.613666908
"241",204479.0588547
"242",214519.245766532
"243",238175.767422505
"244",209571.197724022
"245",217210.628391894
"246",169174.749654711
"247",223994.19571519
"248",235653.806208957
"249",203193.272883837
"250",229189.521393211
"251",208637.483659555
"252",222189.598532518
"253",221051.438775656
"254",196504.632663987
"255",206989.276238975
"256",210761.180413542
"257",191811.911179914
"258",172824.022182477
"259",202195.641252002
"260",196976.739212139
"261",191418.421331217
"262",185352.278585141
"263",202481.812395833
"264",207751.172975624
"265",213495.177207358
"266",197657.619302769
"267",198979.320906467
"268",210342.057828094
"269",215444.94022029
"270",191309.441850216
"271",213115.75979061
"272",191276.151234884
"273",174668.04293316
"274",209176.460191624
"275",224399.429263664
"276",199208.792973803
"277",192364.574325334
"278",244393.861624768
"279",221511.273288639
"280",231775.705888053
"281",194619.574358773
"282",177491.735115661
"283",194815.54441955
"284",209899.163488344
"285",222445.454335122
"286",178608.191414589
"287",188427.277864407
"288",190087.025060291
"289",198920.886807239
"290",198870.809909149
"291",187803.494408596
"292",210174.346909844
"293",241871.070298237
"294",210027.356497834
"295",204226.840571405
"296",209922.975554408
"297",221862.690276115
"298",182994.622257371
"299",197317.200584438
"300",230039.584549378
"301",200844.304109572
"302",200383.579897466
"303",208959.478872709
"304",191025.826853928
"305",182600.952430378
"306",220703.513539884
"307",247832.758439382
"308",181293.815416812
"309",208881.651768332
"310",229478.051316218
"311",215048.254202654
"312",206622.779374372
"313",213178.067170915
"314",197243.747612747
"315",210833.591348645
"316",188652.483405602
"317",193176.227541741
"318",184215.201758082
"319",199410.969030721
"320",216793.296189555
"321",212925.657379093
"322",183888.957845549
"323",224271.804793568
"324",202020.470931791
"325",222699.581404696
"326",168746.536670785
"327",203950.903023427
"328",232303.468564196
"329",217116.335300066
"330",186775.272764369
"331",171307.038577491
"332",218068.049360423
"333",198770.430037557
"334",218555.786167855
"335",174996.075025742
"336",195864.913648563
"337",207192.715209829
"338",187447.564948918
"339",208426.512041349
"340",223840.22141083
"341",199607.123286568
"342",188179.040104056
"343",195120.193380501
"344",213227.495036951
"345",194983.085707639
"346",202999.528601774
"347",180546.571559693
"348",210891.234103705
"349",190344.38335877
"350",169059.906922633
"351",218221.641444117
"352",184327.510920905
"353",202437.490099535
"354",207609.116899219
"355",196424.058820874
"356",198275.596197952
"357",185997.917535211
"358",200931.025085002
"359",204102.05525093
"360",220630.743434318
"361",201017.056657512
"362",205445.849718042
"363",206790.492137526
"364",207525.629693824
"365",220534.69559753
"366",207911.98520603
"367",215797.698665351
"368",201031.747222151
"369",240868.691006289
"370",199832.795938638
"371",211500.734800205
"372",198561.849216959
"373",223717.386040606
"374",227878.896119021
"375",186566.674457158
"376",196989.944519685
"377",195254.592528719
"378",191878.913862527
"379",239501.311056614
"380",180062.115125033
"381",186900.379526126
"382",193638.926459031
"383",213228.157608698
"384",220184.202414313
"385",198923.705673192
"386",234668.845742007
"387",222205.185947841
"388",181255.205082956
"389",237548.761724812
"390",199459.065894378
"391",212504.383487649
"392",205283.385105773
"393",217108.058009594
"394",215076.636459751
"395",199128.566577083
"396",213037.567147551
"397",202075.25390956
"398",191816.25280969
"399",201016.367920975
"400",219094.067170506
"401",212329.359983688
"402",184341.314406389
"403",201901.870624517
"404",197666.090995614
"405",194987.849842909
"406",184524.758023382
"407",218144.166845893
"408",222355.618759651
"409",188993.670196157
"410",218602.809605281
"411",192715.494629312
"412",213081.79651205
"413",201878.183153458
"414",231828.46471333
"415",215478.544003663
"416",186344.805352081
"417",174976.722856305
"418",216961.6062475
"419",209511.455077181
"420",205786.915172683
"421",199747.014873067
"422",259429.625867804
"423",210872.466997496
"424",225186.569025477
"425",209418.935103257
"426",238287.321620527
"427",225756.981312518
"428",193796.405726858
"429",198441.639250317
"430",223187.812496452
"431",210211.843698517
"432",209241.390030275
"433",226913.178617275
"434",208590.161001164
"435",221724.087309862
"436",220716.711596234
"437",158247.779672173
"438",225542.469582007
"439",183129.459726378
"440",213393.91919661
"441",198495.400870879
"442",228669.604739313
"443",193438.04419815
"444",191063.359511152
"445",213838.953953936
"446",214393.266116167
"447",237138.462745279
"448",239670.902533239
"449",213896.136662557
"450",189026.590787251
"451",206127.364890385
"452",195161.534371458
"453",209747.043173939
"454",199712.674434582
"455",207240.816357731
"456",189557.185950698
"457",217489.974210964
"458",203006.252964903
"459",233882.800917703
"460",216249.245479564
"461",187967.586044125
"462",217236.881071596
"463",196910.633207205
"464",210704.381333804
"465",234375.749233096
"466",209355.684502235
"467",202976.484619107
"468",200445.320822877
"469",214286.830726186
"470",180293.605371631
"471",223834.142523395
"472",227253.102207849
"473",207095.301544774
"474",185138.380424168
"475",183423.392238801
"476",216371.429852678
"477",220443.783749926
"478",231324.884261849
"479",207239.96895074
"480",196703.768337828
"481",204072.819353409
"482",214682.21099617
"483",194873.022642166
"484",205789.949747321
"485",205263.626042713
"486",215822.654041801
"487",193379.964570911
"488",190892.026807981
"489",221390.513167618
"490",189320.929560462
"491",189373.475633482
"492",211909.646445822
"493",212431.397873679
"494",183363.485076454
"495",155740.784354381
"496",203751.196324392
"497",227897.480892705
"498",223307.977306293
"499",234577.8674814
"500",187864.8502649
"501",220886.43752832
"502",212642.222031356
"503",233317.720049746
"504",216313.644073029
"505",209270.091130387
"506",212896.923103073
"507",221145.645555787
"508",191097.704721203
"509",220555.843784119
"510",201321.56446918
"511",206647.508100712
"512",233675.228833672
"513",206383.098748445
"514",219565.282431235
"515",236637.244245224
"516",187238.108858781
"517",201977.913701227
"518",190129.080061396
"519",214271.986488362
"520",209339.547345103
"521",254272.801923748
"522",202659.73439275
"523",206205.908898444
"524",222099.398433442
"525",201570.41025908
"526",184372.548890354
"527",194848.322413668
"528",195580.205620327
"529",202189.176626547
"530",242936.787856553
"531",208526.35253336
"532",203642.046156269
"533",184016.468426868
"534",197264.12612899
"535",228745.120404658
"536",155605.267459141
"537",207882.142945751
"538",220722.323445075
"539",166483.282991154
"540",200607.764968871
"541",199125.544837615
"542",212132.566932601
"543",197688.275962274
"544",194327.299610347
"545",164357.138499969
"546",211746.674213936
"547",217393.676419263
"548",186680.758472481
"549",198209.43614316
"550",181974.196414044
"551",239538.6817213
"552",223246.771315209
"553",237506.711528848
"554",199156.277644557
"555",212988.082708686
"556",229736.697987979
"557",238317.572737534
"558",192402.128438536
"559",193238.753920085
"560",207813.807679027
"561",191721.430862377
"562",214293.49418954
"563",187289.472222241
"564",198822.12330039
"565",228970.637893396
"566",189070.966485867
"567",240502.136054171
"568",237147.990042261
"569",205709.845158559
"570",194186.539254008
"571",197751.523411357
"572",228716.89695952
"573",191337.722514609
"574",226052.124109738
"575",186060.279939756
"576",211836.981592946
"577",203647.83379112
"578",203625.080149788
"579",212206.428011411
"580",204967.797913361
"581",202864.214701421
"582",211837.567132506
"583",223243.108110035
"584",229242.821339997
"585",193061.609621913
"586",186182.69361973
"587",213638.473460571
"588",214621.166478227
"589",222944.018522881
"590",179124.303058652
"591",214523.727380614
"592",196113.074996186
"593",169103.632501246
"594",205293.928474586
"595",219422.120520385
"596",201552.878629056
"597",204237.448636557
"598",216308.264284223
"599",219682.448960138
"600",181028.190154114
"601",202096.797402993
"602",202032.422749192
"603",192161.022847184
"604",206734.537647359
"605",215779.191506022
"606",218549.736743794
"607",221101.222325158
"608",193198.976644155
"609",212343.795656148
"610",193050.846926939
"611",203282.803061989
"612",253795.53584534
"613",207696.730211577
"614",236791.336697784
"615",219310.726753508
"616",186525.326417134
"617",207062.639253364
"618",227677.738071439
"619",200253.83847773
"620",230851.17181384
"621",199256.835540181
"622",200553.296418822
"623",193775.771771146
"624",204230.728117838
"625",201974.615598386
"626",224691.280856621
"627",194349.635478967
"628",185371.305729749
"629",228007.376436396
"630",202806.419865899
"631",176872.05569132
"632",199741.262019569
"633",193941.875609497
"634",205463.827281078
"635",213456.907235375
"636",207672.69239341
"637",251068.532630555
"638",192683.142927654
"639",202071.561813383
"640",206841.298700436
"641",195997.294617381
"642",202975.011293255
"643",215731.672580931
"644",231003.575334789
"645",229038.176719154
"646",216117.657088867
"647",221602.713217532
"648",203246.284163587
"649",209010.115712238
"650",203572.497574242
"651",185079.802748655
"652",178915.252196579
"653",181760.349498528
"654",187572.535689036
"655",214977.595572053
"656",198383.932244086
"657",186377.973677309
"658",183190.943189468
"659",194493.832132
"660",204504.990919686
"661",193253.117671216
"662",196917.535154379
"663",202062.784918633
"664",207834.563057868
"665",169751.439565567
"666",228766.721828008
"667",197970.510050934
"668",196672.0925694
"669",197587.52274097
"670",175577.680311295
"671",192496.910246794
"672",216625.450635451
"673",192211.396155294
"674",227990.179579334
"675",188236.715051568
"676",194179.429539349
"677",216433.683044155
"678",166992.997285857
"679",196525.86745418
"680",195089.416652514
"681",188051.713396382
"682",214877.959037608
"683",188221.693020626
"684",235932.679309969
"685",238686.934902559
"686",216364.165550689
"687",217618.781764134
"688",202320.689376289
"689",209668.320894405
"690",199786.268616244
"691",218146.71961721
"692",202703.373493759
"693",211107.121055847
"694",212070.250676279
"695",197107.943859269
"696",205328.739599516
"697",179743.746083648
"698",214263.806545461
"699",196655.070961333
"700",230006.167981313
"701",216286.05584721
"702",204292.54659553
"703",199975.317245342
"704",224421.301061995
"705",224076.652956308
"706",204685.007863006
"707",220678.460883604
"708",192279.287706433
"709",187357.91370226
"710",189691.408253499
"711",212969.68637391
"712",210212.574607633
"713",188843.981295818
"714",242572.762351936
"715",195956.920038053
"716",216129.28279701
"717",187517.030667955
"718",220166.849050977
"719",200197.19730566
"720",246055.993548908
"721",212978.180361331
"722",197054.851625443
"723",210912.909805971
"724",206566.814227335
"725",190609.442205291
"726",205714.604922119
"727",181569.931237645
"728",208322.592823789
"729",189302.564064746
"730",197531.547180876
"731",192239.535038018
"732",216682.043434026
"733",213754.008778352
"734",202304.171308851
"735",200296.362328096
"736",197042.309529954
"737",184048.118483342
"738",195931.049257223
"739",217684.711539684
"740",214624.49261696
"741",227131.871975285
"742",215342.993512018
"743",204743.511790488
"744",200202.554595981
"745",193981.679147997
"746",225510.254431396
"747",210487.890760007
"748",213711.564478808
"749",187857.834138722
"750",213508.737404708
"751",188574.819280505
"752",252356.35650913
"753",186146.089404264
"754",206128.15255299
"755",178311.716446049
"756",218879.17348926
"757",201639.353346518
"758",209242.466118606
"759",185456.445692828
"760",220440.152185307
"761",189148.301407803
"762",212990.866509068
"763",219416.383003636
"764",220610.212529396
"765",218993.830954587
"766",194399.001336674
"767",178784.676742619
"768",218362.243872406
"769",205395.635801006
"770",239149.324583311
"771",188266.756274659
"772",162706.272253169
"773",200496.91893416
"774",218997.588628428
"775",197492.212095363
"776",211860.025068928
"777",182215.169210247
"778",180762.612417206
"779",187365.146536491
"780",247405.788217681
"781",202532.646236339
