"","x"
"1",198985.083912751
"2",173810.702667911
"3",187197.858722712
"4",174516.052233595
"5",171493.412194136
"6",179808.262319878
"7",214701.215664357
"8",211550.889262395
"9",226143.494766552
"10",184463.482070459
"11",192745.274946699
"12",167025.694139316
"13",190583.850356443
"14",183389.049759309
"15",178350.028690397
"16",180765.84110877
"17",191934.938235642
"18",214336.182882721
"19",169640.606816203
"20",162851.341573187
"21",202887.306212102
"22",193038.003493531
"23",166604.433814755
"24",197976.03898681
"25",174977.655320865
"26",172330.0997577
"27",196528.059232316
"28",206445.077383283
"29",217541.886230586
"30",206817.166295831
"31",194712.952736908
"32",271594.343207411
"33",200512.878508505
"34",156250.843958861
"35",176665.120979045
"36",198303.029781545
"37",163022.34843042
"38",173247.891388844
"39",190512.038696521
"40",212254.272274304
"41",244302.713377183
"42",239518.397843992
"43",155303.896458971
"44",181427.862029393
"45",170957.459044309
"46",159091.541288119
"47",216528.596158104
"48",217022.188171872
"49",175814.791453192
"50",204972.817936931
"51",209496.343731637
"52",175265.047801444
"53",225207.749075478
"54",182788.158154796
"55",166919.116923835
"56",210106.30772518
"57",211776.669099216
"58",189109.785210721
"59",211757.509939288
"60",203716.892560873
"61",214694.745746132
"62",204177.291503945
"63",215286.659120079
"64",195670.069121844
"65",169419.450422895
"66",167397.259836329
"67",170737.803427685
"68",197576.153733247
"69",199709.506026575
"70",187688.998240031
"71",181409.859127368
"72",166667.300272066
"73",213103.225719553
"74",181422.352019892
"75",241771.43981402
"76",137698.774871154
"77",213485.360264245
"78",188482.002810079
"79",182553.286483567
"80",190465.883162212
"81",170161.05217219
"82",157134.166366924
"83",148618.398974174
"84",165892.067644699
"85",191872.339904439
"86",217501.587560084
"87",248444.408314651
"88",142566.717810281
"89",180141.045089698
"90",184827.665255322
"91",180994.072870016
"92",196823.676060357
"93",205256.188261703
"94",195456.52847872
"95",250721.576467945
"96",242237.073890238
"97",221900.910172981
"98",199999.488857125
"99",160587.786736674
"100",184371.841483454
"101",183090.122711442
"102",241676.563262022
"103",243512.749486856
"104",190210.241989018
"105",151126.583552212
"106",211057.392742658
"107",226108.237906532
"108",175957.204543863
"109",181200.283928589
"110",209323.928173306
"111",217423.43326809
"112",177722.360655551
"113",187238.587172443
"114",185786.178081703
"115",236204.246027675
"116",206006.909659495
"117",199557.260658358
"118",223451.672189172
"119",187119.399953404
"120",177968.759602393
"121",177116.917605415
"122",199801.538355467
"123",209851.240062834
"124",189315.14603758
"125",205847.527829704
"126",260374.072592473
"127",226318.907705917
"128",206541.710510744
"129",249338.065912509
"130",196778.294631908
"131",163028.833949735
"132",228289.545907858
"133",223006.561311559
"134",207410.2859413
"135",210772.979545606
"136",212716.198837839
"137",204800.648130696
"138",194612.979553141
"139",202026.441484794
"140",209989.906413933
"141",141306.144542607
"142",208226.25038065
"143",187829.101137229
"144",168753.293284521
"145",182564.969059378
"146",196310.507709951
"147",172341.030073631
"148",162338.967198011
"149",232951.60996905
"150",237820.164959976
"151",201739.947712534
"152",191906.61563593
"153",196070.533248
"154",173334.337299107
"155",203069.860642557
"156",186591.798282809
"157",182724.436042684
"158",211023.59239447
"159",165273.090773767
"160",165687.151885727
"161",186002.024295384
"162",221500.034872869
"163",212226.001030554
"164",203836.553040011
"165",182278.013450063
"166",184722.148015966
"167",171318.311025244
"168",198680.076489741
"169",180324.244636442
"170",201988.840888245
"171",213727.058323026
"172",244362.439397771
"173",221591.449232647
"174",165001.43452991
"175",196560.708334936
"176",184637.831351688
"177",205276.761447198
"178",158868.354778517
"179",200496.269468206
"180",160290.222034977
"181",184135.521889898
"182",165723.790232539
"183",205539.16829016
"184",229925.303212658
"185",190612.561494072
"186",171729.928142249
"187",200201.06525527
"188",194249.768599326
"189",218876.173991964
"190",147567.963309145
"191",190538.544545692
"192",199264.858361452
"193",213830.064460399
"194",225964.813073205
"195",185399.441643315
"196",232473.35008316
"197",180495.917325379
"198",195965.932915381
"199",211073.796937315
"200",196323.323796407
"201",214049.822410802
"202",274942.304594865
"203",202006.062399859
"204",205040.259412569
"205",230164.17083169
"206",209599.901512741
"207",193961.816101442
"208",199326.539698929
"209",194688.675790946
"210",195327.803656287
"211",230697.106513827
"212",200320.340123474
"213",227322.856588563
"214",216836.173011668
"215",161574.524095595
"216",189571.169839801
"217",168783.73048016
"218",173487.568712126
"219",196653.546057204
"220",208369.673228208
"221",206339.016223382
"222",153377.287393932
"223",176267.559027004
"224",178547.36949785
"225",189104.696762505
"226",197040.493968751
"227",216719.677561678
"228",193806.34565301
"229",166585.05749765
"230",175677.322152393
"231",205900.555051936
"232",189070.030557353
"233",164196.772078681
"234",188828.6496101
"235",191708.735960771
"236",172117.793025556
"237",182612.141944248
"238",188959.620453285
"239",183270.019265357
"240",205384.602097982
"241",202866.722952959
"242",188070.114761652
"243",180175.590595196
"244",188872.31144055
"245",170481.846834107
"246",174710.525072521
"247",244232.726055008
"248",191630.153150965
"249",172286.157075671
"250",148942.168038689
"251",212433.478863235
"252",225049.311002074
"253",190011.64578504
"254",192140.176422952
"255",164650.90933016
"256",192833.23964208
"257",209393.561962961
"258",207647.157525229
"259",186888.185588842
"260",175524.194399077
"261",166422.449885185
"262",185011.589167283
"263",180457.475802066
"264",235836.062594501
"265",179962.267254263
"266",166931.674198903
"267",245041.568242228
"268",178896.189666184
"269",181789.376529201
"270",212798.298116912
"271",186203.639978401
"272",201127.95969396
"273",176706.179090663
"274",203680.302183524
"275",234112.59534269
"276",182308.696669405
"277",211389.697608988
"278",202830.079847339
"279",202936.552629694
"280",219477.45752446
"281",195419.123144173
"282",210222.578334384
"283",191554.518097687
"284",157432.773980712
"285",179058.643189834
"286",183084.090077571
"287",227030.040213088
"288",170521.418131184
"289",184631.395707675
"290",218531.366361058
"291",161577.380782869
"292",220317.534337488
"293",197724.671863547
"294",204633.988219864
"295",153214.623135607
"296",224666.032614967
"297",203012.973241307
"298",179341.235645134
"299",165168.958362663
"300",194913.697250788
"301",194636.544568677
"302",234023.864486556
"303",177396.040481953
"304",208948.409569882
"305",206235.693476745
"306",165044.097238642
"307",159824.613442006
"308",201585.454638088
"309",159105.678258024
"310",174943.560602163
"311",182809.834591526
"312",166979.810793403
"313",173339.252646548
"314",197159.495708666
"315",201527.667721884
"316",204283.927024074
"317",188484.016470979
"318",185586.971650051
"319",242105.352476458
"320",206545.211916217
"321",166756.079660839
"322",207407.076826096
"323",175158.995232157
"324",224348.207231457
"325",164592.448380926
"326",162139.035377537
"327",178829.415879475
"328",163570.270501544
"329",199569.946486807
"330",167912.303755546
"331",175720.218026048
"332",220197.436071988
"333",167829.407497935
"334",201406.219296786
"335",189442.098814452
"336",253928.818131585
"337",175476.756176516
"338",210583.697603534
"339",195982.824534821
"340",194052.6053305
"341",186070.686616834
"342",167520.372058325
"343",178120.478427145
"344",212502.742547324
"345",217970.83617366
"346",183607.893666708
"347",190951.672029654
"348",186365.072090679
"349",190110.57595392
"350",174102.371793554
"351",201596.695545158
"352",161842.039602061
"353",180180.920737622
"354",194381.160327252
"355",214710.610090608
"356",176159.279238938
"357",198371.480121198
"358",163178.200951588
"359",183266.392156242
"360",211900.367406884
"361",183214.363426613
"362",185435.985338405
"363",185084.781810292
"364",201681.131741707
"365",205882.538578782
"366",189218.559213024
"367",220290.712441958
"368",190189.14705851
"369",179200.908495094
"370",188828.410648443
"371",199312.176567567
"372",209840.082403509
"373",267865.113290141
"374",191232.472504257
"375",164386.936271501
"376",216962.606590394
"377",193199.231159013
"378",175946.086276912
"379",191942.722991724
"380",224380.344500929
"381",265273.047955066
"382",197044.209258064
"383",197642.366047376
"384",214848.066498419
"385",178441.187777953
"386",240630.852038899
"387",211539.847695137
"388",193791.189522046
"389",145858.850166736
"390",202829.527105579
"391",195078.651623479
"392",210344.064276828
"393",251117.507177006
"394",207200.624721967
"395",197718.28919531
"396",159599.090427293
"397",197530.233147002
"398",246086.112234704
"399",204552.474418229
"400",177584.518735826
"401",197912.326683503
"402",134826.591657498
"403",177143.675051217
"404",204609.681768883
"405",237059.080539997
"406",186886.191131916
"407",183594.547361168
"408",180289.02195301
"409",203139.627319477
"410",206661.54617518
"411",169139.132057787
"412",160613.260562089
"413",211760.725395022
"414",173137.956983614
"415",184431.975658509
"416",205035.413265878
"417",183826.772588026
"418",168285.50390697
"419",196020.843511629
"420",180778.175777886
"421",227480.417409416
"422",242739.986583235
"423",178124.044932109
"424",184381.800144504
"425",224094.465418833
"426",229224.167519106
"427",195899.152530434
"428",188690.07705232
"429",209494.3281268
"430",184024.74625927
"431",199729.700849712
"432",216377.731961655
"433",155017.086506822
"434",238471.927670598
"435",206100.73494463
"436",174484.823669039
"437",192631.949175896
"438",166744.065627908
"439",173442.521865645
"440",195712.701687033
"441",177458.619037605
"442",185414.648215382
"443",212371.71605412
"444",184514.305906138
"445",217009.504069385
"446",190400.509434105
"447",221204.803568086
"448",201578.372373479
"449",189829.856806453
"450",205455.710887225
"451",150326.466022079
"452",181323.724572092
"453",211170.741330885
"454",172818.154213801
"455",180317.625157808
"456",187284.465996065
"457",190483.15755034
"458",183453.14159961
"459",192943.093735913
"460",206247.014574602
"461",203887.312600012
"462",194138.673845184
"463",210522.476517309
"464",171451.42654746
"465",192986.505366579
"466",161793.684752714
"467",205201.636683396
"468",201620.535032937
"469",152403.204846801
"470",239469.548873542
"471",178478.984959146
"472",181760.035353807
"473",171978.746455992
"474",169369.649414552
"475",197295.249083188
"476",169237.704876924
"477",207066.666898133
"478",168595.140727489
"479",200672.453173407
"480",172741.262369632
"481",187049.419661139
"482",209978.617328993
"483",184849.466262794
"484",175068.689936866
"485",222171.417169693
"486",174959.504252025
"487",207499.084341801
"488",215493.251366759
"489",182552.036132456
"490",236421.435452644
"491",215558.914568842
"492",207428.042290528
"493",188760.537013139
"494",185061.903205755
"495",195992.857142534
"496",203796.574448374
"497",159956.006684892
"498",164331.736360308
"499",224581.197760049
"500",168164.89803408
"501",255967.108227966
"502",180638.837199533
"503",198379.747670314
"504",186908.623528368
"505",197488.558875829
"506",199966.113372982
"507",187110.300479738
"508",219586.747729971
"509",159081.776982348
"510",197570.077739311
"511",217446.128278177
"512",225996.786633798
"513",211838.499207093
"514",202005.003268665
"515",186603.360507939
"516",237793.966623441
"517",194432.343751197
"518",208470.590240912
"519",160820.309753616
"520",177675.523342488
"521",174558.916652973
"522",158778.994980891
"523",211645.033876108
"524",189950.622321556
"525",155487.966360074
"526",195430.637939985
"527",143339.010098507
"528",170567.607178433
"529",193646.930109014
"530",197277.553449587
"531",176947.03641123
"532",189961.05238813
"533",190956.564171692
"534",183284.868831695
"535",187495.048455715
"536",193906.374172636
"537",195728.820520828
"538",157173.795951666
"539",182338.731868482
"540",203180.155097176
"541",215531.6742034
"542",190838.602350935
"543",179138.903819364
"544",170668.747013564
"545",150937.042019266
"546",188131.672081463
"547",151788.753049613
"548",184814.651148614
"549",185863.614490956
"550",175031.000409432
"551",183307.981512662
"552",203481.585393318
"553",179103.96768699
"554",181392.822849519
"555",169777.943667219
"556",193814.127120521
"557",188847.326040139
"558",197675.409181535
"559",172367.809556726
"560",191364.334644622
"561",171341.366189986
"562",184193.703998361
"563",216213.799930625
"564",165729.523850887
"565",231154.977885839
"566",252750.881117403
"567",207721.469205329
"568",166250.366093626
"569",184172.516480529
"570",194463.767566588
"571",183845.199828158
"572",172456.942128682
"573",235791.812873048
"574",180252.584619385
"575",186995.854605658
"576",167536.351985851
"577",161288.000677876
"578",217582.115833332
"579",218620.610776937
"580",180938.033057541
"581",163615.370689092
"582",172111.251984573
"583",186018.548878442
"584",171475.559615159
"585",187308.684909459
"586",170855.730668971
"587",172240.056338507
"588",181081.073156003
"589",186530.736521128
"590",149192.857469636
"591",209776.043632818
"592",217582.211925776
"593",199064.0265698
"594",180132.176963357
"595",177785.135385333
"596",191588.419222647
"597",179296.995439021
"598",155717.490304422
"599",166164.854577261
"600",251970.446741721
"601",198113.668411909
"602",207760.779947884
"603",160785.24711689
"604",180721.240273856
"605",196706.657553675
"606",189235.740121243
"607",207404.794023607
"608",183156.068221433
"609",150246.911067004
"610",204852.743303494
"611",156606.934643162
"612",182197.678622759
"613",179795.939984738
"614",228515.861414275
"615",203236.991186051
"616",180603.484003128
"617",160001.194377272
"618",215848.263925807
"619",203390.108889412
"620",183245.657826932
"621",178555.961548452
"622",154203.497674185
"623",182307.874627553
"624",171615.478780456
"625",151279.218525842
"626",223042.622758413
"627",210978.124559087
"628",164490.221758477
"629",233504.489633389
"630",214349.153395127
"631",212479.993254377
"632",230973.913165067
"633",201394.31544441
"634",204908.478971886
"635",167409.64300548
"636",197188.844406177
"637",218835.11606054
"638",202939.29632165
"639",202071.942235142
"640",199087.898839924
"641",151567.427038458
"642",210862.456380504
"643",204255.898749097
"644",216388.759100494
"645",188046.903274845
"646",184417.843382646
"647",199846.213277932
"648",195152.206576626
"649",194089.98536445
"650",194403.012522398
"651",182294.891018666
"652",173961.180145714
"653",202591.576777078
"654",199379.9457956
"655",182917.445810459
"656",209354.141545539
"657",233507.977749279
"658",216310.681858693
"659",212041.525735011
"660",234988.237266966
"661",189311.754646857
"662",198611.853877944
"663",183606.877668341
"664",191184.788632655
"665",218910.865916892
"666",206619.873034566
"667",175410.854187805
"668",207757.086327062
"669",217298.444107357
"670",199035.256241604
"671",211065.161224356
"672",166276.824129105
"673",199781.054715835
"674",172672.93247657
"675",206439.14530072
"676",157384.736103068
"677",206236.238497485
"678",166087.13365175
"679",198796.260395108
"680",202434.639627063
"681",172813.059469696
"682",184917.501133884
"683",156532.185006992
"684",237470.521698434
"685",172703.401185843
"686",195811.159964801
"687",181730.716723755
"688",194716.44315602
"689",179238.818343526
"690",177540.013584562
"691",206248.453269498
"692",195191.020023654
"693",180897.776097484
"694",233679.420177432
"695",209127.889930681
"696",223071.745142072
"697",180441.09507637
"698",181704.970854875
"699",160788.391702313
"700",222114.815366547
"701",156241.751293551
"702",170957.728289048
"703",238129.180020332
"704",205354.081017915
"705",235722.680232997
"706",208306.397434645
"707",188231.594346801
"708",198736.223019219
"709",228552.552239866
"710",221963.052310455
"711",210712.93386834
"712",188772.918863168
"713",191530.526515468
"714",183365.416081934
"715",174678.280076531
"716",181862.194331287
"717",222688.509257658
"718",164916.697141372
"719",188472.683149464
"720",176008.06349918
"721",262894.337632154
