"origin" "dev" "mu" "sigma" "exp_cumulative" "sim_cumulative" "premium"
"1" 1 1 10.882236884009 0.0279637869336605 53243.3328319376 50145.2184306759 187498.552110236
"2" 2 1 11.0733032448232 0.0279637869336605 64453.1725098213 66529.634928341 209638.067805761
"3" 3 1 11.1298538615336 0.0279637869336605 68203.0693685947 67249.5452820185 217899.496097439
"4" 4 1 11.1520426096872 0.0279637869336605 69733.3245380214 71335.5665436524 218391.248298398
"5" 5 1 11.2525860311352 0.0279637869336605 77109.1336738646 76200.4532622714 234357.926976733
"6" 6 1 11.2265001886414 0.0279637869336605 75123.6855864683 75407.412724087 243614.500575093
"7" 7 1 11.0137896372506 0.0279637869336605 60729.2430082349 60923.301099993 216966.568939138
"8" 8 1 10.9800654038994 0.0279637869336605 58715.3452916034 60214.3097676745 197976.268108936
"9" 9 1 10.844064368353 0.0279637869336605 51249.203480852 51171.9870585367 192253.755976859
"10" 10 1 11.0096299750095 0.0279637869336605 60477.1545341006 61167.946635688 211541.731644815
"11" 11 1 11.1192672198525 0.0279637869336605 67484.8364569807 70564.4791387225 247891
"12" 1 2 11.5979327606104 0.00126212466699205 108872.587676265 108869.702910477 187498.552110236
"13" 2 2 11.701203333947 0.00126212466699205 120716.98650239 120628.352444813 209638.067805761
"14" 3 2 11.6956511413751 0.00126212466699205 120048.599769586 120410.048822139 217899.496097439
"15" 4 2 11.7553222650076 0.00126212466699205 127430.074964615 127456.023132923 218391.248298398
"16" 5 2 11.8903140498783 0.00126212466699205 145847.210071038 146032.645031482 234357.926976733
"17" 6 2 11.9568507482174 0.00126212466699205 155881.525331308 155886.717616877 243614.500575093
"18" 7 2 11.6544937402767 0.00126212466699205 115208.007774098 115047.557828829 216966.568939138
"19" 8 2 11.6978527278589 0.00126212466699205 120313.188294619 120050.520299369 197976.268108936
"20" 9 2 11.521060181371 0.00126212466699205 100816.869609144 100917.327165266 192253.755976859
"21" 10 2 11.6320016088098 0.00126212466699205 112645.658488316 112561.893828704 211541.731644815
"22" 1 3 11.6792585966684 0.00121026655023893 118096.731846851 118157.575733172 187498.552110236
"23" 2 3 11.8144109731794 0.00121026655023893 135186.651411328 135607.543861707 209638.067805761
"24" 3 3 11.7919138138805 0.00121026655023893 132179.291150784 132236.666387938 217899.496097439
"25" 4 3 11.8536604313444 0.00121026655023893 140598.15890543 140645.270149201 218391.248298398
"26" 5 3 11.9858519700045 0.00121026655023893 160468.461771429 160291.641401627 234357.926976733
"27" 6 3 12.0713505853266 0.00121026655023893 174791.88518499 174502.23433357 243614.500575093
"28" 7 3 11.720748082103 0.00121026655023893 123099.569434253 122880.03969813 216966.568939138
"29" 8 3 11.7933276767265 0.00121026655023893 132366.306715579 132031.543910452 197976.268108936
"30" 9 3 11.6412070384648 0.00121026655023893 113687.390357196 113701.597605908 192253.755976859
"31" 1 4 11.7240132109417 0.000774365005023481 123502.10886845 123434.780413753 187498.552110236
"32" 2 4 11.8365640279763 0.000774365005023481 138214.807193094 138325.176870804 209638.067805761
"33" 3 4 11.8443239422628 0.000774365005023481 139291.514425011 139283.376843541 217899.496097439
"34" 4 4 11.8999785639178 0.000774365005023481 147263.512607533 147157.830248803 218391.248298398
"35" 5 4 12.0371766816293 0.000774365005023481 168919.4041192 168785.026088468 234357.926976733
